Seat,Seat UID,State,Election Date,Candidate Name,Party,Coalition,Votes,Votes %,Result,Total Voters,Turnout,Turnout %,Rejected Votes,Majority,Majority %
N.01 Chennah,,Negeri Sembilan,2023-08-12,Anthony Loke Siew Fook,DAP,PH,5888,61.48705096073517,won,14554,9705,66.6826989143878,115,2200,22.974101921470343
N.01 Chennah,,Negeri Sembilan,2023-08-12,Rosmadi bin Arif,BERSATU,PN,3688,38.512949039264825,lost,14554,9705,66.6826989143878,115,2200,22.974101921470343
N.02 Pertang,,Negeri Sembilan,2023-08-12,Jalaluddin bin Alias,UMNO,BN,5634,66.45435244161358,won,12897,8572,66.46506939598356,83,2790,32.90870488322717
N.02 Pertang,,Negeri Sembilan,2023-08-12,Amirudin bin Hassan (Cikgu Amir),PAS,PN,2844,33.54564755838641,lost,12897,8572,66.46506939598356,83,2790,32.90870488322717
N.03 Sungai Lui,,Negeri Sembilan,2023-08-12,Mohd Razi bin Mohd Ali,UMNO,BN,6939,52.00479652252117,won,20206,13616,67.38592497278036,255,535,4.009593045042345
N.03 Sungai Lui,,Negeri Sembilan,2023-08-12,Mohd Nordin bin Hasim,PAS,PN,6404,47.995203477478825,lost,20206,13616,67.38592497278036,255,535,4.009593045042345
N.04 Klawang,,Negeri Sembilan,2023-08-12,Bakri bin Sawir,AMANAH,PH,4598,51.18557274852499,won,13163,9073,68.92805591430525,80,577,6.42324390515418
N.04 Klawang,,Negeri Sembilan,2023-08-12,Danni Rais,BERSATU,PN,4021,44.76232884337081,lost,13163,9073,68.92805591430525,80,577,6.42324390515418
N.04 Klawang,,Negeri Sembilan,2023-08-12,Saiful Bahri bin Jaaman @ Sharman (Angah Saiful),BEBAS,ALONE,364,4.052098408104197,lost_deposit,13163,9073,68.92805591430525,80,577,6.42324390515418
N.05 Serting,,Negeri Sembilan,2023-08-12,Mohd Fairuz bin Mohd Isa,PAS,PN,10312,52.13083261715787,won,30287,19957,65.89295737445109,140,843,4.261665234315758
N.05 Serting,,Negeri Sembilan,2023-08-12,Muhamad Zamri bin Omar,UMNO,BN,9469,47.86916738284212,lost,30287,19957,65.89295737445109,140,843,4.261665234315758
N.06 Palong,,Negeri Sembilan,2023-08-12,Mustapha bin Nagoor,UMNO,BN,7940,51.84121180464874,won,23494,15458,65.79552226100282,121,564,3.6824236092974667
N.06 Palong,,Negeri Sembilan,2023-08-12,Noor Azuan bin Parmin,BERSATU,PN,7376,48.15878819535126,lost,23494,15458,65.79552226100282,121,564,3.6824236092974667
N.07 Jeram Padang,,Negeri Sembilan,2023-08-12,Mohd Zaidy bin Abdul Kadir,UMNO,BN,5462,53.38676571205161,won,16332,10358,63.421503796228265,115,693,6.773531424103216
N.07 Jeram Padang,,Negeri Sembilan,2023-08-12,Surash a/l Sreenivasan,BERSATU,PN,4769,46.61323428794839,lost,16332,10358,63.421503796228265,115,693,6.773531424103216
N.08 Bahau,,Negeri Sembilan,2023-08-12,Teo Kok Seong,DAP,PH,11939,77.17517776341306,won,25769,15617,60.603826302922116,132,8408,54.350355526826114
N.08 Bahau,,Negeri Sembilan,2023-08-12,Kumar a/l S. Paramasivam,PAS,PN,3531,22.824822236586943,lost,25769,15617,60.603826302922116,132,8408,54.350355526826114
N.09 Lenggeng,,Negeri Sembilan,2023-08-12,Mohd Asna bin Amin,UMNO,BN,10040,50.70963179958584,won,27386,20014,73.08113634703864,170,685,3.459770695489671
N.09 Lenggeng,,Negeri Sembilan,2023-08-12,Mohd Fadli bin Che Me,PAS,PN,9355,47.24986110409617,lost,27386,20014,73.08113634703864,170,685,3.459770695489671
N.09 Lenggeng,,Negeri Sembilan,2023-08-12,Zul Azki bin Mat Sulop,BEBAS,ALONE,404,2.040507096317996,lost_deposit,27386,20014,73.08113634703864,170,685,3.459770695489671
N.10 Nilai,,Negeri Sembilan,2023-08-12,Arul Kumar a/l Jambunathan,DAP,PH,19133,66.28672394678492,won,42168,29091,68.98833238474673,203,10889,37.72519401330377
N.10 Nilai,,Negeri Sembilan,2023-08-12,Gan Chee Biow,BERSATU,PN,8244,28.561529933481154,lost,42168,29091,68.98833238474673,203,10889,37.72519401330377
N.10 Nilai,,Negeri Sembilan,2023-08-12,Omar bin Mohd Isa,BEBAS,ALONE,1430,4.954268292682927,lost_deposit,42168,29091,68.98833238474673,203,10889,37.72519401330377
N.10 Nilai,,Negeri Sembilan,2023-08-12,Yessu a/l Samuel,BEBAS,ALONE,57,0.19747782705099776,lost_deposit,42168,29091,68.98833238474673,203,10889,37.72519401330377
N.11 Lobak,,Negeri Sembilan,2023-08-12,Chew Seh Yong,DAP,PH,14357,94.39184746877055,won,23193,15321,66.05872461518561,99,13504,88.78369493754109
N.11 Lobak,,Negeri Sembilan,2023-08-12,Ng Soon Lean,GERAKAN,PN,853,5.608152531229455,lost_deposit,23193,15321,66.05872461518561,99,13504,88.78369493754109
N.12 Temiang,,Negeri Sembilan,2023-08-12,Ng Chin Tsai,DAP,PH,5710,63.5008896797153,won,13085,9069,69.30836836071838,63,3068,34.119217081850536
N.12 Temiang,,Negeri Sembilan,2023-08-12,Chua Eng Pu,GERAKAN,PN,2642,29.381672597864767,lost,13085,9069,69.30836836071838,63,3068,34.119217081850536
